direction,target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error,range_error,duration_error,start_time,start_price
Down,4351.92626953125,2026-01-05 18:31:12.307376861,12.35136604309082,15.205122947692871,4440.31,2026-01-05 18:30:00,Down,8.460000000000036,14.0,88.3837304687504,3.891366043090784,1.205122947692871,2026-01-05 18:16:00,4448.77
Up,4332.337890625,2026-01-05 18:44:20.105953216,9.074602127075195,14.335099220275879,4454.43,2026-01-05 18:54:00,Up,14.11999999999989,24.0,122.09210937500029,5.0453978729246955,9.664900779724121,2026-01-05 18:30:00,4440.31
Down,4336.7421875,2026-01-05 19:13:25.729751586,9.720338821411133,19.428829193115234,4432.4,2026-01-05 19:05:00,Down,22.030000000000655,11.0,95.65781249999964,12.309661178589522,8.428829193115234,2026-01-05 18:54:00,4454.43
Up,4339.083984375,2026-01-05 19:25:21.945991516,10.49850082397461,20.365766525268555,4449.13,2026-01-05 19:26:00,Up,16.730000000000473,21.0,110.04601562500011,6.231499176025864,0.6342334747314453,2026-01-05 19:05:00,4432.4
Down,4348.5029296875,2026-01-05 19:41:58.504199981,9.75282096862793,15.975069999694824,4437.84,2026-01-05 19:44:00,Down,11.289999999999964,18.0,89.33707031250015,1.537179031372034,2.024930000305176,2026-01-05 19:26:00,4449.13
Up,4343.6484375,2026-01-05 20:00:15.394363403,11.567337036132812,16.256572723388672,4445.75,2026-01-05 19:57:00,Up,7.9099999999998545,13.0,102.1015625,3.657337036132958,3.256572723388672,2026-01-05 19:44:00,4437.84
Down,4379.01123046875,2026-01-05 20:13:11.804008483,8.961076736450195,16.196733474731445,4441.89,2026-01-05 20:01:00,Down,3.8599999999996726,4.0,62.87876953125033,5.101076736450523,12.196733474731445,2026-01-05 19:57:00,4445.75
Up,4368.0498046875,2026-01-05 20:17:11.341896057,8.951953887939453,16.18903160095215,4448.59,2026-01-05 20:16:00,Up,6.699999999999818,15.0,80.54019531250015,2.251953887939635,1.1890316009521484,2026-01-05 20:01:00,4441.89
Down,4356.884765625,2026-01-05 20:28:55.849800109,8.1670503616333,12.930830001831055,4439.88,2026-01-05 20:29:00,Down,8.710000000000036,13.0,82.99523437500011,0.5429496383667356,0.06916999816894531,2026-01-05 20:16:00,4448.59
Up,4353.4189453125,2026-01-05 20:41:58.915843963,9.69242000579834,12.98193073272705,4449.24,2026-01-05 21:00:00,Up,9.359999999999673,31.0,95.82105468749978,0.33242000579866726,18.01806926727295,2026-01-05 20:29:00,4439.88
Down,4363.13427734375,2026-01-05 21:16:46.504440307,9.172540664672852,16.775074005126953,4435.14,2026-01-05 21:10:00,Down,14.099999999999454,10.0,72.00572265625033,4.927459335326603,6.775074005126953,2026-01-05 21:00:00,4449.24
Up,4356.16162109375,2026-01-05 21:26:58.554382324,7.644712448120117,16.975906372070312,4445.86,2026-01-05 21:34:00,Up,10.719999999999345,24.0,89.69837890624967,3.075287551879228,7.0240936279296875,2026-01-05 21:10:00,4435.14
Down,4371.0234375,2026-01-05 21:49:51.898384094,12.640398979187012,15.864973068237305,4438.66,2026-01-05 21:56:00,Down,7.199999999999818,22.0,67.63656249999985,5.440398979187194,6.135026931762695,2026-01-05 21:34:00,4445.86
Up,4364.47998046875,2026-01-05 22:11:51.148910522,8.489998817443848,15.852481842041016,4447.0,2026-01-05 22:21:00,Up,8.340000000000146,25.0,82.52001953125,0.14999881744370214,9.147518157958984,2026-01-05 21:56:00,4438.66
Down,4375.20556640625,2026-01-05 22:37:01.569328308,9.193477630615234,16.026155471801758,4438.07,2026-01-05 22:44:00,Down,8.930000000000291,23.0,62.86443359374971,0.26347763061494334,6.973844528198242,2026-01-05 22:21:00,4447.0
Up,4367.9345703125,2026-01-05 22:57:58.208370208,7.067129611968994,13.970139503479004,4448.24,2026-01-05 23:10:00,Up,10.170000000000073,26.0,80.30542968749978,3.1028703880310786,12.029860496520996,2026-01-05 22:44:00,4438.07
Down,4378.5478515625,2026-01-05 23:21:31.359386444,7.464601516723633,11.522656440734863,4443.46,2026-01-05 23:19:00,Down,4.779999999999745,9.0,64.91214843750004,2.6846015167238875,2.5226564407348633,2026-01-05 23:10:00,4448.24
Up,4400.04931640625,2026-01-05 23:33:31.615848541,7.710010051727295,14.526930809020996,4448.37,2026-01-05 23:34:00,Up,4.9099999999998545,15.0,48.32068359374989,2.8000100517274404,0.4730691909790039,2026-01-05 23:19:00,4443.46
Down,4392.25390625,2026-01-05 23:47:29.158630371,7.135860443115234,13.485977172851562,4445.29,2026-01-05 23:47:00,Down,3.0799999999999272,13.0,53.036093749999964,4.055860443115307,0.4859771728515625,2026-01-05 23:34:00,4448.37
Up,4379.1142578125,2026-01-06 00:00:40.250358581,7.025876522064209,13.670839309692383,4460.09,2026-01-06 01:10:00,Up,14.800000000000182,83.0,80.97574218750015,7.774123477935973,69.32916069030762,2026-01-05 23:47:00,4445.29
Down,4381.43603515625,2026-01-06 01:24:52.965488433,13.074118614196777,14.882758140563965,4436.76,2026-01-06 02:01:00,Down,23.329999999999927,51.0,55.32396484375022,10.25588138580315,36.117241859436035,2026-01-06 01:10:00,4460.09
Up,4394.62841796875,2026-01-06 02:18:01.038551330,16.499679565429688,17.017309188842773,4444.78,2026-01-06 02:31:00,Up,8.019999999999527,30.0,50.151582031249745,8.47967956543016,12.982690811157227,2026-01-06 02:01:00,4436.76
Down,4406.55615234375,2026-01-06 02:59:29.456062316,18.63799476623535,28.490934371948242,4430.46,2026-01-06 02:40:00,Down,14.319999999999709,9.0,23.903847656250036,4.317994766235643,19.490934371948242,2026-01-06 02:31:00,4444.78
Up,4398.64453125,2026-01-06 02:57:42.153167724,9.54041576385498,17.702552795410156,4438.21,2026-01-06 02:48:00,Up,7.75,8.0,39.565468750000036,1.7904157638549805,9.702552795410156,2026-01-06 02:40:00,4430.46
