direction,target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error,range_error,duration_error,start_time,start_price
Up,73.9217300415039,2026-01-06 02:14:10.328178405,0.520112156867981,18.172136306762695,76.491,2026-01-06 02:32:00,Up,0.44599999999999795,36.0,2.5692699584960934,0.074112156867983,17.827863693237305,2026-01-06 01:56:00,76.045
Down,74.11217498779297,2026-01-06 02:47:18.951187133,0.3620258867740631,15.315853118896484,76.185,2026-01-06 02:36:00,Down,0.3059999999999974,4.0,2.0728250122070335,0.056025886774065725,11.315853118896484,2026-01-06 02:32:00,76.491
Up,73.99554443359375,2026-01-06 02:59:59.929504394,0.5083901882171631,23.998825073242188,76.382,2026-01-06 02:46:00,Up,0.19700000000000273,10.0,2.386455566406255,0.31139018821716036,13.998825073242188,2026-01-06 02:36:00,76.185
Down,74.6133804321289,2026-01-06 03:03:04.903907775,0.365005224943161,17.08173179626465,76.246,2026-01-06 02:54:00,Down,0.1360000000000099,8.0,1.6326195678710889,0.22900522494315112,9.081731796264648,2026-01-06 02:46:00,76.382
Up,74.09937286376953,2026-01-06 03:09:26.054935455,0.289610892534256,15.434248924255371,76.462,2026-01-06 03:01:00,Up,0.21600000000000819,7.0,2.362627136230472,0.0736108925342478,8.434248924255371,2026-01-06 02:54:00,76.246
Down,75.12427520751953,2026-01-06 03:19:54.142799377,0.3234570324420929,18.902379989624023,75.894,2026-01-06 03:05:00,Down,0.5679999999999978,4.0,0.7697247924804742,0.24454296755790494,14.902379989624023,2026-01-06 03:01:00,76.462
Up,74.27095794677734,2026-01-06 03:20:07.439804077,0.3825663626194,15.12399673461914,76.729,2026-01-06 03:15:00,Up,0.8349999999999937,10.0,2.4580420532226555,0.4524336373805937,5.123996734619141,2026-01-06 03:05:00,75.894
Down,74.4122085571289,2026-01-06 03:34:03.644943237,0.535960853099823,19.060749053955078,76.049,2026-01-06 03:33:00,Down,0.6799999999999926,18.0,1.6367914428711003,0.1440391469001696,1.0607490539550781,2026-01-06 03:15:00,76.729
Up,74.4282455444336,2026-01-06 03:49:54.222106933,0.5542234778404236,16.903701782226562,77.927,2026-01-06 04:36:00,Up,1.8780000000000001,63.0,3.498754455566413,1.3237765221595765,46.09629821777344,2026-01-06 03:33:00,76.049
Down,74.56016540527344,2026-01-06 04:56:08.185157775,0.6292401552200317,20.13641929626465,77.342,2026-01-06 04:40:00,Down,0.585000000000008,4.0,2.7818345947265612,0.04424015522002378,16.13641929626465,2026-01-06 04:36:00,77.927
Up,73.27599334716797,2026-01-06 05:01:12.800674438,0.7725870609283447,21.21334457397461,77.915,2026-01-06 04:49:00,Up,0.5730000000000075,9.0,4.6390066528320375,0.19958706092833722,12.21334457397461,2026-01-06 04:40:00,77.342
Down,73.87139892578125,2026-01-06 05:11:55.077095031,1.201343297958374,22.917951583862305,77.59,2026-01-06 04:57:00,Down,0.32500000000000284,8.0,3.7186010742187534,0.8763432979583712,14.917951583862305,2026-01-06 04:49:00,77.915
Up,73.90552520751953,2026-01-06 05:14:08.290901184,0.6522753238677979,17.138181686401367,78.949,2026-01-06 05:24:00,Up,1.3589999999999947,27.0,5.043474792480467,0.7067246761321968,9.861818313598633,2026-01-06 04:57:00,77.59
Down,74.12068939208984,2026-01-06 05:39:06.777935028,0.45209944248199463,15.11296558380127,78.6,2026-01-06 05:29:00,Down,0.34900000000000375,5.0,4.479310607910151,0.10309944248199088,10.11296558380127,2026-01-06 05:24:00,78.949
Up,73.7831802368164,2026-01-06 05:47:14.974594116,0.9284577965736389,18.249576568603516,78.823,2026-01-06 05:49:00,Up,0.22299999999999898,20.0,5.039819763183587,0.7054577965736399,1.7504234313964844,2026-01-06 05:29:00,78.6
