direction,target_price,target_time,predicted_range,predicted_duration,actual_end_price,actual_end_time,actual_direction,actual_range,actual_duration,price_error,range_error,duration_error,start_time,start_price
Up,74.40724182128906,2026-01-06 02:17:08.216514587,0.6114047169685364,21.13694190979004,76.491,2026-01-06 02:32:00,Up,0.44599999999999795,36.0,2.083758178710937,0.16540471696853842,14.863058090209961,2026-01-06 01:56:00,76.045
Down,74.26223754882812,2026-01-06 03:48:14.806823730,0.3332946300506592,76.24678039550781,76.185,2026-01-06 02:36:00,Down,0.3059999999999974,4.0,1.9227624511718773,0.027294630050661794,72.24678039550781,2026-01-06 02:32:00,76.491
Up,73.91617584228516,2026-01-06 02:59:01.151504516,0.5098824501037598,23.01919174194336,76.382,2026-01-06 02:46:00,Up,0.19700000000000273,10.0,2.4658241577148488,0.31288245010375704,13.01919174194336,2026-01-06 02:36:00,76.185
Down,74.6937255859375,2026-01-06 03:05:35.067214965,0.4809604585170746,19.584453582763672,76.246,2026-01-06 02:54:00,Down,0.1360000000000099,8.0,1.5522744140624951,0.3449604585170647,11.584453582763672,2026-01-06 02:46:00,76.382
Up,74.26417541503906,2026-01-06 03:11:43.641128540,0.3434872329235077,17.727352142333984,76.462,2026-01-06 03:01:00,Up,0.21600000000000819,7.0,2.197824584960941,0.1274872329234995,10.727352142333984,2026-01-06 02:54:00,76.246
Down,75.65396118164062,2026-01-06 03:19:43.279724121,0.23246470093727112,18.721328735351562,75.894,2026-01-06 03:05:00,Down,0.5679999999999978,4.0,0.24003881835938046,0.3355352990627267,14.721328735351562,2026-01-06 03:01:00,76.462
Up,74.58912658691406,2026-01-06 03:22:21.039733886,0.31854742765426636,17.350662231445312,76.729,2026-01-06 03:15:00,Up,0.8349999999999937,10.0,2.1398734130859367,0.5164525723457274,7.3506622314453125,2026-01-06 03:05:00,75.894
Down,74.84395599365234,2026-01-06 03:36:11.957130432,0.5447066426277161,21.19928550720215,76.049,2026-01-06 03:33:00,Down,0.6799999999999926,18.0,1.2050440063476628,0.13529335737227655,3.1992855072021484,2026-01-06 03:15:00,76.729
Up,75.0891342163086,2026-01-06 03:48:46.858978271,0.6815453171730042,15.780982971191406,77.927,2026-01-06 04:36:00,Up,1.8780000000000001,63.0,2.837865783691413,1.196454682826996,47.219017028808594,2026-01-06 03:33:00,76.049
Down,74.77082061767578,2026-01-06 04:54:14.546012878,0.7203319072723389,18.242433547973633,77.342,2026-01-06 04:40:00,Down,0.585000000000008,4.0,2.5711793823242175,0.1353319072723309,14.242433547973633,2026-01-06 04:36:00,77.927
Up,73.5488510131836,2026-01-06 05:01:25.361022949,0.8417757749557495,21.422683715820312,77.915,2026-01-06 04:49:00,Up,0.5730000000000075,9.0,4.3661489868164125,0.268775774955742,12.422683715820312,2026-01-06 04:40:00,77.342
Down,74.51976776123047,2026-01-06 05:10:35.902290344,1.1443501710891724,21.598371505737305,77.59,2026-01-06 04:57:00,Down,0.32500000000000284,8.0,3.0702322387695347,0.8193501710891695,13.598371505737305,2026-01-06 04:49:00,77.915
Up,74.83567810058594,2026-01-06 05:17:33.418464660,0.6684305667877197,20.556974411010742,78.949,2026-01-06 05:24:00,Up,1.3589999999999947,27.0,4.113321899414061,0.6905694332122749,6.443025588989258,2026-01-06 04:57:00,77.59
Down,74.6008071899414,2026-01-06 05:41:57.132110595,0.5513651371002197,17.95220184326172,78.6,2026-01-06 05:29:00,Down,0.34900000000000375,5.0,3.999192810058588,0.20236513710021597,12.952201843261719,2026-01-06 05:24:00,78.949
Up,74.8395004272461,2026-01-06 05:45:44.329948425,0.8715710639953613,16.738832473754883,78.823,2026-01-06 05:49:00,Up,0.22299999999999898,20.0,3.9834995727538995,0.6485710639953624,3.261167526245117,2026-01-06 05:29:00,78.6
Down,73.88640594482422,2026-01-06 06:10:23.412208557,0.5485377907752991,21.39020347595215,78.615,2026-01-06 05:51:00,Down,0.2079999999999984,2.0,4.728594055175776,0.34053779077530066,19.39020347595215,2026-01-06 05:49:00,78.823
Up,74.7027359008789,2026-01-06 06:08:42.329177856,0.410294771194458,17.705486297607422,79.083,2026-01-06 06:12:00,Up,0.4680000000000035,21.0,4.380264099121092,0.057705228805545516,3.294513702392578,2026-01-06 05:51:00,78.615
Down,74.68152618408203,2026-01-06 06:31:47.669792175,0.5749061703681946,19.794496536254883,78.478,2026-01-06 06:47:00,Down,0.605000000000004,35.0,3.796473815917963,0.0300938296318094,15.205503463745117,2026-01-06 06:12:00,79.083
Up,73.76522064208984,2026-01-06 07:02:57.959461212,0.49160948395729065,15.965991020202637,78.813,2026-01-06 06:55:00,Up,0.33500000000000796,8.0,5.047779357910159,0.1566094839572827,7.965991020202637,2026-01-06 06:47:00,78.478
Down,73.8040542602539,2026-01-06 07:16:27.830772399,0.41787922382354736,21.46384620666504,78.612,2026-01-06 07:03:00,Down,0.20100000000000762,8.0,4.8079457397460885,0.21687922382353975,13.463846206665039,2026-01-06 06:55:00,78.813
Up,74.27494049072266,2026-01-06 07:17:42.763481140,0.3285956382751465,14.712724685668945,79.361,2026-01-06 07:33:00,Up,0.7490000000000094,30.0,5.086059509277348,0.42040436172486295,15.287275314331055,2026-01-06 07:03:00,78.612
Down,74.70467376708984,2026-01-06 07:53:53.962783813,0.3123738467693329,20.89937973022461,78.219,2026-01-06 07:58:00,Down,1.1420000000000101,25.0,3.5143262329101503,0.8296261532306772,4.100620269775391,2026-01-06 07:33:00,79.361
Up,74.39170837402344,2026-01-06 08:12:41.373767852,0.4955807328224182,14.689562797546387,79.153,2026-01-06 08:34:00,Up,0.9340000000000117,36.0,4.761291625976568,0.4384192671775935,21.310437202453613,2026-01-06 07:58:00,78.219
